"","brand","whole","reduced","low","skim","raw","sample"
"1","A2","White","White","White","White","A2",1
"2","ACME","Red","Dark Blue","Light Green","Pink","Acme",1
"3","ALDI","Red","Dark Blue",NA,"Pink",NA,3
"4","ALMOND","White","White","White","White","Almond Breeze",1
"5","ALTA","Red","Pink","Light Blue","White",NA,2
"6","ANCHOR","Dark Blue","Light Green","Light Blue","Light Green","Anchor",1
"7","BEST","Red","Dark Blue","Light Blue","Pink","Best choice i think, dont buy milk all that often but its the only brand the store has.",1
"8","BLUE","Red","Light Green","Dark Blue","Light Blue","Blue Bell",1
"9","BOOTH","Red","Light Green","Dark Blue","Pink","Booth Bros",1
"10","BOWL","Pink","Light Green","Light Blue","Purple","Bowl and Basket",1
"11","BRAUMS","Dark Blue",NA,NA,NA,NA,3
"12","BROUGHTON","Red","Dark Blue","Pink","Light Blue","Broughton, store brands",1
"13","BYRNE","Red","Yellow","Purple","Light Blue","Byrne Dairy",1
"14","CALDERS","Red","Orange",NA,NA,"Calder's",1
"15","CASSCLAY","Red","Dark Blue","Light Green","Pink","Cass-Clay",1
"16","CLOVER",NA,"Dark Blue",NA,NA,NA,2
"17","CLOVERLAND","Red","Purple","Lime Green","Light Blue","Cloverland",1
"18","COLES","Dark Blue",NA,NA,NA,"Coles ",1
"19","COLORADO","Red","Dark Blue","Light Green","White","Colorado Proud",1
"20","COMEMICULO",NA,NA,"Purple",NA,"Comemiculo",1
"21","CREAMOLAND","Red","Purple",NA,NA,"Cream-O-Land",2
"22","CRYSTAL","Red","Light Blue","Dark Blue",NA,"Crystal",1
"23","CUB","Red","Dark Blue","Yellow","Pink","Cub / Kemp’s",1
"24","CUMBERLAND","Red","Light Blue","Dark Blue","Pink","Cumberland Farms, Stewart's,Hannaford, PICs, Thomas, Aldi",1
"25","DAIRYLAND","Yellow","Pink","Purple","Light Blue","Dairyland",1
"26","DARIGOLD","Red","Dark Blue",NA,NA,"Darigold",4
"27","DEANS","Red",NA,NA,NA,"Deans",13
"28","FA!RLIFE","White","White","Red","White","fa!rlife",1
"29","FAIRLIFE",NA,NA,NA,NA,NA,3
"30","FARMLAND","Red","Purple","Lime Green","Dark Blue","Farmland Fresh Dairies",1
"31","FOOD","Red","Dark Blue","Light Blue",NA,"Food World",1
"32","FRED","Red","Dark Blue","Light Green","Pink","Fred meyer store brand",1
"33","FRIENDLY","Red","Dark Blue","Light Blue","Pink","Friendly Farms",2
"34","FRYS","Orange","Dark Blue","Red","Yellow","Frys",1
"35","GARELICK","Red",NA,NA,"Light Blue",NA,2
"36","GIANT","Red",NA,NA,NA,NA,10
"37","GREAT","Red","Dark Blue","Light Blue",NA,NA,22
"38","HANNAFORD","Red","Yellow","Light Blue","Lime Green","Hannaford",2
"39","HARRIS","Red","Dark Blue","Pink","Light Blue","Harris teeter brand ",1
"40","HEB",NA,NA,NA,NA,"HEB",2
"41","HILAND","Red","Dark Blue",NA,"Pink",NA,5
"42","HILLANDS","Red","Dark Blue","Light Blue",NA,"Hilland’s ",1
"43","HOMESTEAD","Red",NA,NA,NA,"Homestead Creamery",2
"44","HOOD","Red","Yellow","Dark Blue",NA,"Hood",9
"45","HORIZON",NA,NA,NA,"White",NA,4
"46","HORNBACHERS","Light Blue","Light Blue","Pink",NA,"Hornbachers",1
"47","HYVEE","Red",NA,"Light Green",NA,NA,3
"48","IGA","Red","Dark Blue","Light Blue","Light Green","IGA",1
"49","JEWEL",NA,NA,NA,"Pink","Jewel",1
